id,difficulty,name
feafae68-7a65-40e5-8f5a-ef4d921a549b,medium,Backpack Paradise Park
61fbd3ec-7c00-4a84-ad0c-95bbc7b381ca,easy,Judahs Food Cart
1231d50e-92f4-4eff-b4ba-71e4f0907116,medium,Camp at Golden Ears Summit
4e3cbda0-f924-4de6-88f9-1255f3cb6f1a,hard,Backpack through Kyrgystan
b0011506-3d7f-4694-b59c-3e429bbe9cd2,hard,Hike Reinebringen Norway
76494010-6166-41dc-9487-a6e2475f41c4,medium,Camp Mount Baker-Snoqualmie
c44ff077-fcce-443e-a84a-c48754c4e793,medium,Hike to Lake Serene
ab4e15db-a46f-4a00-bc2b-56eed3e0456a,medium,Bike Ride Hood River
8486f9f2-a2e7-48b6-b542-4558ac2b8ffc,easy,Get Matching Tattoos
07770e5c-f2e9-4af1-a56f-dfd4e0d33832,hard,Iron Ore Train in Mauritania
09b7458b-ee2b-4888-b5f2-2aac6a3ef3f6,medium,Go to Arches National Park
6d7fd13d-49b9-47cc-a6a1-30c8493f0a74,easy,Fast Food Taste Test
cbe730a3-46f1-4052-8f34-c2c76328b967,easy,Cook Off
1b0b1de6-17e0-49cf-b5cc-622a5c193f68,hard,Buy & Destroy Cheap Vespas
49fb57c4-cfc9-47de-b943-a11b13df3514,medium,Cigarette Photo Book
84b13040-008f-43a6-a7c9-8259f32adccb,easy,Go to Archery Range
7b7278c2-c253-4010-a4f2-782b4e486d2f,easy,Go to Gun Range
3731292e-6fd0-44d3-8e6a-b51cd00b020f,easy,Build a Time Capsule
14d50a1f-1c49-425c-ba5c-749e9ebc627a,medium,Camp in Alvord Desert
4356a335-c88a-41b5-9447-21c2b33fa585,medium,"Camp at Ancient Lakes, WA"
ff04ce4e-d091-412c-950d-1e8d6d99d601,medium,Design our own board game
d87c1aef-a31d-4bd4-89c8-9f39350c3a8c,easy,Catch some fish
eabdfa26-397a-4dff-9ce2-a27084aecf86,medium,Bungee Jumping
25795868-9b35-41b4-b7fd-5d1c44e3e35e,medium,Hike Three Fingers Lookout
683efd27-c824-4dc7-b7a0-991d96e8f360,easy,Home Depot Lightsaber
b96e38ff-b183-4f17-82b7-19fee7081100,easy,Fry Baby Food Cart
51b363b7-4f62-4941-b5f3-0e887e19a859,hard,Club América v Chivas
94029a52-e313-4fb9-b336-f575da2f6803,hard,Inter v Milan
4f4f95f4-b787-48f7-8106-5374b08e3049,hard,Bayern v Dortmund
6b493192-b998-490a-8c2f-a8ccd232ad3d,hard,Barça v Real Madrid
3d0ad466-8309-413e-82aa-68aa76db3e50,hard,Boca Juniors v River Plate
de78e6a4-47b4-4492-b775-06b8b676710c,hard,Isle of Man
97c34930-9a63-41f5-847a-cf905a9d0b3e,medium,Death Valley
1893d5af-6aa2-4ad7-b559-5afde7cab399,medium,Grand Teton
e407f515-333f-4155-8d01-6b21f5d64475,easy,Crater Lake
ebc4fb0d-4152-4f85-a351-a7141b50a7f0,hard,Hawaiian Active Volcano
c2b7f6a3-0259-4669-8274-dfdcb697c829,medium,Glacier
4ccff118-34bd-447c-9a4a-d483488bcba3,medium,Great Sand Dunes
62e71a1d-8d9d-48d6-8de7-7344a9fa7a4d,medium,Joshua Tree
92e0a157-3d86-4efa-91dc-8b0240601c76,hard,Drive All Route 66
88d25c57-8a39-4b26-82ce-3eb00bc75e74,medium,Grand Canyon
7989ed95-6cc1-4c80-9691-7210d4c57016,hard,African Safari
9bd78bc1-8a99-47f8-b6af-3edc53cd9a72,hard,Fly First Class
0394d162-0f22-4f39-af85-9c96834b33c9,hard,Chinese Ice City
d698ecd3-ab7b-46eb-96e6-c9854d97b53a,medium,Badlands
e8e5274e-13d4-4caf-9f51-a2889f39480a,hard,Amazon Rain Forest
c8a7ee41-d0d6-426d-a005-36b93e0e4b41,hard,Airboat in a Swamp
38972d57-1bae-46fc-8f86-1d16d9a744a9,easy,Cook a Full Thanksgiving Meal
989067ee-8a33-42cb-b3c1-5d287bf43508,hard,Beat a World Record
43f055d3-6df8-422a-afa8-8c13bcb9c129,medium,Finish Full Canvas Panting
518543b0-7cb9-4964-815d-6bfb7f804b62,medium,Cook an Underground Pig Roast
6a413353-f1d0-484b-a0f9-7f11e859f871,medium,40 for 50 on Free Throws
9ea97ef7-b9e7-411f-b5c5-1571d0d352ce,hard,Fluent in a New Language
e8a6a061-0dbf-458c-88ea-228d5e98ae6e,hard,35 for 50 on 3-Pointers
8af26a04-c546-4928-afaa-f0c4bdb06dbb,medium,Backflip on Trampoline
54d8596d-5b8a-4de1-8662-52e655747d91,easy,Batch of Customer T-Shirts
aa0199a9-b4f9-46e0-b0bf-31d7bafabd1a,medium,Hit a Little League Homer
643f6383-2fe7-4eca-813e-be14c36310e1,medium,Homemade Wine/Beer
f91f89f7-27e7-48c3-9d0d-11eca40a1da2,medium,Hang Gliding
5227d9ad-e5ee-4ad7-aed1-4a9886e75083,medium,"Catch, Cook, Eat Caught Fish"
b7648ce1-a7ab-416e-8f83-b104610b17b7,hard,Experience Zero G's
5f77b919-351d-44b8-a667-19518bdd61a8,hard,"Catch, Cook, Eat Hunted Animal"
c0c98a31-2706-4eaf-90fa-ebda7ec844a6,medium,Catch a Real Wave Surfing
c018b4df-2d4c-4b32-ab49-20860d5d8f00,hard,Eat Escargot in Paris
00b8c163-a524-4f10-9821-511419a3bff2,easy,Donate Money
3d4ee34f-b887-46aa-aad9-f5b28701ffe9,easy,Eat Frog Legs
887da6db-450c-4c52-b321-62e02ca7f067,medium,Ice Fishing
7c69e6c0-f2c1-4091-bdcd-4448ddcbd59a,medium,Drive a Race Car
9416a20e-c7c5-442e-8495-6f0f201d8e0a,hard,Drive in a Rally Race
ca5f3566-5da5-4ff0-9fbd-bada1f031bc7,easy,Hookah Lounge
def9af4f-7e37-4bd8-88f6-bc8fb9f765fd,medium,Find Treasure Metal Detecting
8bd2cfc5-8d53-4018-b7c0-eaeabaa78664,easy,Donate Time
b6c8cb4e-9f91-4aee-adbc-76d915c91aa0,easy,Go Skinny Dipping
beb7ad81-8be4-4e45-afbe-7030c340287e,easy,Eat Alligator
b351cc15-c0e4-4012-ac42-42699f64bf03,hard,Flip a House
4d413de0-9a7a-4d55-ab5e-46086a10d47f,medium,Extra in a Movie
751af36a-9019-44cc-aa91-7842be60e9ae,easy,Dye Hair
04f201c8-a1ea-4d3b-8774-99f863d75e79,easy,Blind Date
fcbde193-4e30-4273-8bd0-b7755401e1bc,easy,Cirque Du Soleil
dde8f895-f12a-49c4-8afd-1399cba64ae3,hard,Iditarod Alaska
09e2c0e9-cbca-48c0-a634-c1dde5e8bc80,hard,Daytona 500
4a3bd3d6-8d13-42e1-871a-213e8906e993,hard,King + Queens of Corbet's
27ec45f2-49fc-4403-bb49-a43ab5cd4769,hard,F1 Race
0c83f095-bf17-4a6f-840d-1f16a4051902,hard,Euro Soccer Match
97866377-bb2a-4137-a661-f75765e6a3c0,medium,Indycar Race
177cfeb4-0d9b-4c56-bf43-0e38bb7909ac,easy,Ape caves
a8c0e960-1f8e-4a8a-bcfa-619759443360,medium,Cape Disappointment
